Epoch 000 | Mean reward: -0.014018 | Sharpe: -5.13 | MDD: 26.42% | Turnover: 0.5685 | Entropy: 0.0232 | Policy loss: 0.000094 | Value loss: 0.004038
Epoch 001 | Mean reward: -0.011250 | Sharpe: -4.33 | MDD: 20.30% | Turnover: 0.5694 | Entropy: 0.0219 | Policy loss: 0.000034 | Value loss: 19.166281
Epoch 002 | Mean reward: -0.013786 | Sharpe: -5.05 | MDD: 21.77% | Turnover: 0.5636 | Entropy: 0.0208 | Policy loss: -0.000034 | Value loss: 0.556002
Epoch 003 | Mean reward: -0.001931 | Sharpe: -0.64 | MDD: 4.94% | Turnover: 0.5679 | Entropy: 0.0191 | Policy loss: 0.000125 | Value loss: 6.889418
Epoch 004 | Mean reward: -0.004368 | Sharpe: -1.34 | MDD: 8.98% | Turnover: 0.5691 | Entropy: 0.0204 | Policy loss: 0.000120 | Value loss: 4.117981
Epoch 005 | Mean reward: -0.014062 | Sharpe: -6.45 | MDD: 24.54% | Turnover: 0.5613 | Entropy: 0.0218 | Policy loss: 0.000139 | Value loss: 0.051684
Epoch 006 | Mean reward: -0.014276 | Sharpe: -7.47 | MDD: 23.21% | Turnover: 0.5578 | Entropy: 0.0194 | Policy loss: -0.000107 | Value loss: 6.617909
Epoch 007 | Mean reward: -0.012260 | Sharpe: -5.41 | MDD: 20.65% | Turnover: 0.5620 | Entropy: 0.0251 | Policy loss: 0.000001 | Value loss: 7.797621
Epoch 008 | Mean reward: -0.013863 | Sharpe: -6.33 | MDD: 23.79% | Turnover: 0.5647 | Entropy: 0.0196 | Policy loss: -0.000062 | Value loss: 1.394173
Epoch 009 | Mean reward: -0.010828 | Sharpe: -3.83 | MDD: 19.61% | Turnover: 0.5568 | Entropy: 0.0223 | Policy loss: -0.000076 | Value loss: 1.349152
Epoch 010 | Mean reward: -0.015495 | Sharpe: -5.06 | MDD: 26.78% | Turnover: 0.5684 | Entropy: 0.0244 | Policy loss: -0.000408 | Value loss: 7.477462
Epoch 011 | Mean reward: -0.010986 | Sharpe: -5.02 | MDD: 19.62% | Turnover: 0.5567 | Entropy: 0.0205 | Policy loss: 0.000152 | Value loss: 6.159287
Epoch 012 | Mean reward: -0.016789 | Sharpe: -7.07 | MDD: 28.82% | Turnover: 0.5625 | Entropy: 0.0229 | Policy loss: -0.000027 | Value loss: 1.372454
Epoch 013 | Mean reward: -0.008260 | Sharpe: -3.47 | MDD: 17.17% | Turnover: 0.5678 | Entropy: 0.0236 | Policy loss: -0.000058 | Value loss: 0.126833
Epoch 014 | Mean reward: -0.017096 | Sharpe: -6.47 | MDD: 29.58% | Turnover: 0.5722 | Entropy: 0.0220 | Policy loss: 0.000138 | Value loss: 1.487091
Epoch 015 | Mean reward: -0.010151 | Sharpe: -4.29 | MDD: 17.58% | Turnover: 0.5645 | Entropy: 0.0211 | Policy loss: 0.000181 | Value loss: 1.381999
Epoch 016 | Mean reward: -0.012810 | Sharpe: -5.02 | MDD: 23.41% | Turnover: 0.5638 | Entropy: 0.0213 | Policy loss: 0.000114 | Value loss: 0.271529
Epoch 017 | Mean reward: -0.010766 | Sharpe: -3.92 | MDD: 21.65% | Turnover: 0.5654 | Entropy: 0.0236 | Policy loss: 0.000058 | Value loss: 0.029559
Epoch 018 | Mean reward: -0.010235 | Sharpe: -3.75 | MDD: 16.31% | Turnover: 0.5648 | Entropy: 0.0236 | Policy loss: 0.000072 | Value loss: 0.351097
Epoch 019 | Mean reward: -0.013029 | Sharpe: -4.95 | MDD: 21.48% | Turnover: 0.5569 | Entropy: 0.0207 | Policy loss: 0.000099 | Value loss: 0.434267
Epoch 020 | Mean reward: -0.012776 | Sharpe: -5.96 | MDD: 21.30% | Turnover: 0.5649 | Entropy: 0.0257 | Policy loss: -0.000129 | Value loss: 0.156528
Epoch 021 | Mean reward: -0.017755 | Sharpe: -7.76 | MDD: 29.33% | Turnover: 0.5639 | Entropy: 0.0218 | Policy loss: -0.000011 | Value loss: 0.002877
